time_real,time sec,time nanosec,position X,position Y,position Z,orientation X,orientation Y,orientation Z,orientation W
1714372443.0268524,573,666696585,-0.04492529169888096,-17.105758820767928,7.2592436863942e-05,-0.0004287821699991787,-3.092736163124558e-05,-0.2656097434248715,0.9640805357370944
1714372443.1271102,573,683363253,-0.044929584765315514,-17.105764542828577,7.16157558673022e-05,-0.00042882091814986387,-2.9319788276871717e-05,-0.26563450914359055,0.9640737123296195
1714372443.2383223,573,700029920,-0.044928153648809296,-17.10576263547502,7.200092076959807e-05,-0.0004286374515678633,-2.9184407645477074e-05,-0.265645565959101,0.9640706658251118
1714372443.335766,573,716696588,-0.04492815383100737,-17.105764542823664,7.188171175977095e-05,-0.0004296437421899158,-3.0099599973896158e-05,-0.2656577543219482,0.9640673068146686
1714372443.456538,573,733363255,-0.044929584098261255,-17.10576645017718,7.203298798821852e-05,-0.0004287760688022847,-2.9833221620547208e-05,-0.2656657718397858,0.964065097871421
1714372443.5547705,573,750029923,-0.044929583302714265,-17.10576454282851,7.253962670358257e-05,-0.00042907120902613635,-2.9837131616918667e-05,-0.2656671723164159,0.9640647118119421
1714372443.6622975,573,766696590,-0.04493053789987529,-17.105770264877712,7.194509117570608e-05,-0.00042866706630998017,-3.0404558692423243e-05,-0.26567209002335135,0.9640633567887192
1714372443.7607229,573,783363258,-0.044929106601171,-17.10576645017552,7.244946508782909e-05,-0.00042886965818283014,-2.9788754832072285e-05,-0.26566678504546204,0.9640648186232369
1714372443.86703,573,800029926,-0.044929106783369074,-17.10576835752416,7.233025607800196e-05,-0.0004285040375634192,-3.046680172617736e-05,-0.265667262172381,0.9640646872829101
1714372443.9621692,573,816696593,-0.04492862985897172,-17.10576645017389,7.238910562677882e-05,-0.00042813963582258893,-3.0294684070709656e-05,-0.2656636563769955,0.9640656810918486
1714372444.0746675,573,833363261,-0.0449295849475136,-17.10576645017722,7.149654685747507e-05,-0.00042909327490235193,-2.9817234180089622e-05,-0.26566097341103,0.9640664200127489
1714372444.1684246,573,850029928,-0.04493006107636397,-17.105766450178816,7.194433602406225e-05,-0.0004292510449646298,-2.9611825296614728e-05,-0.2656584996914533,0.9640671016108611
1714372444.266801,573,866696596,-0.04493006102918329,-17.105766450178816,7.197413830910356e-05,-0.00042823570543029394,-2.976361534332891e-05,-0.2656543281667426,0.9640682515541026
1714372444.3666291,573,883363263,-0.0449310149251587,-17.105770264879354,7.182663692650854e-05,-0.0004287942055478983,-2.979327684381124e-05,-0.26565370187539383,0.9640684238827602
1714372444.4699526,573,900029931,-0.0449276763810978,-17.105764542822,7.226838657434023e-05,-0.00042891959704218386,-3.0074324663976517e-05,-0.26564395640906246,0.9640711091754873
1714372444.5738218,573,916696598,-0.04492958386235783,-17.105766450177168,7.218199941342503e-05,-0.00042909521231993106,-2.9236326213489285e-05,-0.2656445225146516,0.9640709531359706
1714372444.6858115,573,933363266,-0.044929583390550976,-17.105766450177146,7.248002226383805e-05,-0.00042868427524059993,-3.1035069681278546e-05,-0.26564240687331975,0.9640715362135562
1714372444.7813294,573,950029933,-0.04493053782508792,-17.10576454283181,7.200469535477444e-05,-0.00042899468354307607,-2.985382723917591e-05,-0.26564043967283335,0.9640720781574033
1714372444.8783636,573,966696601,-0.04491861632231317,-17.10574356195604,7.240305363744234e-05,-0.0004262270831243806,-2.9618976180240212e-05,-0.2652814428065493,0.9641709254876261
1714372444.9747348,573,983363268,-0.044937689291850616,-17.105735932626732,7.276107389025062e-05,-0.00042709684617880196,-3.1012107469570536e-05,-0.2647328107354222,0.9643217074953028
1714372445.0753837,574,29936,-0.04494722749871435,-17.105732117962155,7.185230061264723e-05,-0.0004270693164288257,-3.0109627383330575e-05,-0.2642819310690739,0.9644453730593613
1714372445.1719847,574,16696603,-0.04495247275458694,-17.105730210631464,7.183080199791207e-05,-0.00042584255023864556,-2.980032267293865e-05,-0.26392087662220737,0.9645442388263116
1714372445.289222,574,33363271,-0.044951518178507927,-17.105732117976796,7.239553576209959e-05,-0.00042579022660551544,-3.113728553192415e-05,-0.2636432976160642,0.9646201477033743
1714372445.3871086,574,50029939,-0.04494436658525306,-17.105714951814672,7.181796780875724e-05,-0.0004239797507958533,-2.934363307008783e-05,-0.2630839984286011,0.964772838107988
1714372445.4991534,574,66696606,-0.044955333320209984,-17.105711137154902,7.216315517579152e-05,-0.00042327209262412255,-3.078016576586202e-05,-0.2623513083220446,0.9649723368651707
1714372445.6161606,574,83363274,-0.04496630092399324,-17.10570160044927,7.197190102106809e-05,-0.00042281857160140617,-2.977608836670643e-05,-0.26175278817507436,0.9651348601208096
1714372445.7329054,574,100029941,-0.04497583752018901,-17.10569969313325,7.207640556520706e-05,-0.00042114584388328237,-2.998604518936703e-05,-0.2612727631195983,0.9652649195888482
1714372445.8304944,574,116696609,-0.04498298797307473,-17.10570541520352,7.339902986255349e-05,-0.0004265831763955347,-3.011967799693515e-05,-0.2605571150930944,0.965458340320266
1714372445.9473794,574,133363276,-0.044991096203801394,-17.10571113727724,7.213036514324191e-05,-0.00042032595060951085,-2.9751298377380722e-05,-0.25933534309216305,0.9657872448237373
1714372446.0504074,574,150029944,-0.04500158683751464,-17.10571304466177,7.199796144966193e-05,-0.00041798624364200476,-3.064139511517706e-05,-0.2576813445787397,0.9662298634407331
1714372446.148196,574,166696611,-0.045016368561090266,-17.10570541531779,7.217037397351349e-05,-0.00041501396821570335,-2.985963210061683e-05,-0.2556642347971838,0.9667655485780299
1714372446.24904,574,183363279,-0.04503687289608668,-17.10569587864478,7.199421763814321e-05,-0.0004095047561245246,-3.100205803448889e-05,-0.2533514579658394,0.9673742140926181
1714372446.3519363,574,200029946,-0.045061190911691924,-17.105678712590237,7.247975018007052e-05,-0.00040663627170994235,-3.1278294459921955e-05,-0.2507895910553521,0.9680415356207088
1714372446.4551086,574,216696614,-0.045089800428736414,-17.105655824504478,7.30018786347338e-05,-0.00040063236733975204,-3.220808194955696e-05,-0.2480230143327955,0.9687540569296315
1714372446.5620878,574,233363281,-0.045135101462470135,-17.105627214430008,7.214972048530964e-05,-0.0003964593019185004,-3.13482470267141e-05,-0.24508605617131743,0.9695012464704206
1714372446.6584215,574,250029949,-0.04518516835320141,-17.105587160279942,7.291443385576386e-05,-0.00039286227798682253,-3.2246501511961526e-05,-0.24199609233363206,0.9702771438690319
1714372446.779539,574,266696617,-0.04525335659672496,-17.105545198843288,7.2724357546288e-05,-0.00038686992658494655,-3.206897676496554e-05,-0.23879192782669645,0.9710706794605892
1714372446.8783453,574,283363284,-0.045332510093030215,-17.105505144792694,7.380333983114105e-05,-0.00038199082843159656,-3.365195661049555e-05,-0.23549389997499284,0.9718757513309615
1714372446.98499,574,300029952,-0.04541548148859929,-17.105451739314866,7.289160723360151e-05,-0.000375947909469441,-3.24163831829409e-05,-0.2320960054105152,0.9726928096191673
1714372447.0824268,574,316696619,-0.04550226449184313,-17.105417407336276,7.389326130982742e-05,-0.00036938227630121625,-3.430194122354506e-05,-0.22864080137421425,0.9735107838781591
1714372447.1891131,574,333363287,-0.04558189667780509,-17.10537353859013,7.381070910836117e-05,-0.00036375547981706927,-3.5312246539564077e-05,-0.2251097198503715,0.974333351817479
1714372447.2871919,574,350029954,-0.04566725077551026,-17.10533920660672,7.37968208202798e-05,-0.00035901667686398335,-3.48942540731895e-05,-0.22153216089234984,0.9751529990620871
1714372447.4131691,574,366696622,-0.04575260371979695,-17.105297245228723,7.452798913687869e-05,-0.000351433096821443,-3.588950925932547e-05,-0.21790033414290128,0.9759709624712887
1714372447.5097342,574,383363289,-0.045843679713179916,-17.105249561824447,7.464236776820784e-05,-0.0003476002170993903,-3.5693195737095374e-05,-0.214228554408194,0.9767834992342266
1714372447.621083,574,400029957,-0.04594286287974048,-17.105213322539743,7.414373234214832e-05,-0.00034049823669646126,-3.562769407181728e-05,-0.21053525999448333,0.9775862044293964
1714372447.7344851,574,416696624,-0.046046812705370255,-17.105165639179475,7.475532959026509e-05,-0.0003340663930900238,-3.564952427913765e-05,-0.20680542740338412,0.9783820329121238
1714372447.834478,574,433363292,-0.04615791561144676,-17.105114141146426,7.505042480676619e-05,-0.0003285629747370721,-3.659485356626288e-05,-0.20304704345883487,0.9791689276370111
1714372447.9313996,574,450029959,-0.04627235734316024,-17.10505501373031,7.475475803786254e-05,-0.0003233248261814706,-3.634828015126052e-05,-0.1992624779725593,0.979946100054536
1714372448.0360446,574,466696627,-0.046390612986369366,-17.105003515721744,7.494196747871329e-05,-0.0003159137693925936,-3.661505017334249e-05,-0.19546675325525203,0.9807102769063241
1714372448.129931,574,483363294,-0.04651315981531029,-17.104955832425105,7.534458719423826e-05,-0.00031003365293425536,-3.7309616186509624e-05,-0.19166216115557347,0.9814609103109005
1714372448.2318559,574,500029962,-0.04664333543695485,-17.104915778549067,7.611691310709368e-05,-0.0003048107135720158,-3.7508773768252156e-05,-0.1878515484889269,0.9821973841412087
1714372448.3300867,574,516696630,-0.04677542033121745,-17.104864280587847,7.570016640013916e-05,-0.00029907018336399057,-3.675940743275169e-05,-0.1840179437519406,0.9829228380616044
1714372448.427363,574,533363297,-0.046917041100916206,-17.104814690007842,7.58349587736193e-05,-0.0002923857048670793,-3.7183835875976114e-05,-0.18018007805380334,0.9836335967221166
1714372448.5486543,574,550029965,-0.04706438358560273,-17.10476319209876,7.618742570366237e-05,-0.00028572090428959676,-3.7552060739812156e-05,-0.1763322881870579,0.984330656383374
1714372448.6425529,574,566696632,-0.047212680073675364,-17.104711694192954,7.633278642035165e-05,-0.00027963795998617503,-3.860923378019588e-05,-0.17247496113725747,0.9850138618784204
1714372448.7371502,574,583363300,-0.047355253423306966,-17.10465065952436,7.718434263472986e-05,-0.00027434823607783994,-3.860362682305063e-05,-0.16860031832644334,0.9856844606176093
1714372448.8511217,574,600029967,-0.0474992589680759,-17.104593439558005,7.696528152120032e-05,-0.0002667551505376705,-3.8696428259284125e-05,-0.16472943246055935,0.9863387559178125
1714372448.9493668,574,616696635,-0.04764374024467573,-17.10454194163913,7.743242824560266e-05,-0.00026093935292180535,-3.960649820191444e-05,-0.16085948398823335,0.9869772827948061
1714372449.0499864,574,633363302,-0.047791559855531685,-17.104488536383062,7.76068362260275e-05,-0.0002542093327199155,-3.967540899706109e-05,-0.15698688385799706,0.9876006541614039
1714372449.1617217,574,650029970,-0.04794700883830884,-17.104438945850355,7.779332272261098e-05,-0.00024760142044226435,-3.9946342009372456e-05,-0.1531116908541811,0.988208858097113
1714372449.2573907,574,666696637,-0.04810674897268643,-17.104389355332312,7.822502151823384e-05,-0.00024349821640998006,-3.993204146377289e-05,-0.14924054901252273,0.9888008887761436
1714372449.3573575,574,683363305,-0.04826887403170896,-17.104343579519725,7.818365846871028e-05,-0.00023609836054320376,-3.996352753683043e-05,-0.1453697823361142,0.9893773643277025
1714372449.4531732,574,700029972,-0.04843576715367996,-17.104303525769335,7.832865843012539e-05,-0.00022968345130366984,-3.986242370051587e-05,-0.14150244217551458,0.9899378791191216
1714372449.5498357,574,716696640,-0.04860409149956788,-17.10426156467524,7.80288886584858e-05,-0.0002235145104229757,-3.960910932458442e-05,-0.1376303334723784,0.9904836393301325
1714372449.66307,574,733363308,-0.04877861286764829,-17.104223418299526,7.890122184671276e-05,-0.00021702536256212857,-4.0295612109001086e-05,-0.13375810583971023,0.9910139859751872
1714372449.771132,574,750029975,-0.04895218077742879,-17.104177642526025,7.965283559148687e-05,-0.00021114665914024282,-4.1912966974847526e-05,-0.12987246669787358,0.9915306833649684
1714372449.863997,574,766696643,-0.04912670380988253,-17.104135681453126,7.948208854259206e-05,-0.00020354982748939078,-4.115878066987509e-05,-0.1259902562115093,0.9920314572699702
1714372449.9793675,574,783363310,-0.04929788742944904,-17.104093720368734,8.028953266328664e-05,-0.00019850700235541144,-4.215256782704811e-05,-0.1221054732781824,0.9925171092800578
1714372450.0740368,574,800029978,-0.04947002671677497,-17.10404794459043,7.984679033350567e-05,-0.0001910182976108328,-4.116912531743583e-05,-0.11821911278348522,0.992987514115761
1714372450.1858394,574,816696645,-0.049647886149076725,-17.104004076180246,8.060519822732674e-05,-0.00018451126137415395,-4.245915758839961e-05,-0.1143322299971357,0.9934425526102133
1714372450.2826548,574,833363313,-0.049825268899409206,-17.10395639307117,8.127344411438012e-05,-0.00017986076912629022,-4.2650989938690435e-05,-0.11044316274639762,0.9938824244514889
1714372450.3755746,574,850029980,-0.049998361375000286,-17.103914431993374,8.113023467762362e-05,-0.00017244131155414914,-4.35632153641666e-05,-0.10655981231194418,0.9943062781488828
1714372450.4719675,574,866696648,-0.050167162180003375,-17.10387247090089,8.106963807728217e-05,-0.00016607697602456282,-4.3016229391070906e-05,-0.10267598423119627,0.9947148399567572
1714372450.5972545,574,883363315,-0.050337869145207305,-17.103832417163506,8.175711829718196e-05,-0.00016068166793889986,-4.347964805026443e-05,-0.09879215540958226,0.9951080756985398
1714372450.6940172,574,900029983,-0.05050905409888234,-17.103786641381912,8.173009817604389e-05,-0.00015470939919976008,-4.278148981479743e-05,-0.09490515312204412,0.9954863063576652
1714372450.8090582,574,916696650,-0.05068214602938722,-17.103752309698624,8.191471439609407e-05,-0.00014871665818100754,-4.337747840806388e-05,-0.09102464033560796,0.9958486284840298
1714372450.9086947,574,933363318,-0.0508576214545591,-17.10371225597756,8.255013895558781e-05,-0.00014142526177096952,-4.420905688281419e-05,-0.08714518658614283,0.9961956105601555
1714372451.0023143,574,950029985,-0.05103548281625233,-17.10368364635653,8.205685192037887e-05,-0.00013522141985281832,-4.3224024033608184e-05,-0.08327242262634102,0.9965268102147535
1714372451.1234248,574,966696653,-0.05121429555878728,-17.103649314692756,8.302538624311483e-05,-0.00012880025164584293,-4.445974055886474e-05,-0.07939421248754482,0.996843287812738
1714372451.2295125,574,983363321,-0.051399308896197496,-17.103622612444795,8.290105012325444e-05,-0.0001219195190498708,-4.379674540255979e-05,-0.07552149381889108,0.997144165699644
1714372451.3242867,575,29988,-0.05158813592224925,-17.10359972490711,8.340860137767883e-05,-0.00011610088175414597,-4.4747704597780387e-05,-0.07165059227779977,0.9974297855711292
1714372451.433777,575,16696656,-0.051779823328217386,-17.10358446677371,8.430811220479842e-05,-0.00011110248502422186,-4.537933862331676e-05,-0.06778329619583208,0.9977000603156149
1714372451.533779,575,33363323,-0.05197485052451824,-17.10356920865182,8.399101358199823e-05,-0.0001049878826544406,-4.4617943016617746e-05,-0.0639100033033036,0.9979556595683775
1714372451.6300428,575,50029991,-0.05217273685948028,-17.103552043190994,8.487053557631799e-05,-9.77810246088954e-05,-4.59993574856703e-05,-0.060032706612363824,0.9981964047519527
1714372451.7286959,575,66696658,-0.05237300908227495,-17.103532970389768,8.468094963365106e-05,-9.19576268591012e-05,-4.6435118604965217e-05,-0.05615226470591807,0.9984222115698204
1714372451.8257294,575,83363326,-0.052569943004944865,-17.103519619623004,8.475430041059651e-05,-8.584687553354501e-05,-4.608565484390317e-05,-0.052270552728331476,0.9986329555066271
1714372451.9299777,575,100029993,-0.052762107719280506,-17.10350436149126,8.535654327827075e-05,-7.700514909073791e-05,-4.6943894541927946e-05,-0.04838617562939992,0.998828698964161
1714372452.048651,575,116696661,-0.05295236632059601,-17.103487196004412,8.51809070406624e-05,-7.262595805368345e-05,-4.622690611201078e-05,-0.04450017079685498,0.9990093730228932
1714372452.146211,575,133363328,-0.053143099952556797,-17.10347384521638,8.613851278626737e-05,-6.716999600932564e-05,-4.7034613710751174e-05,-0.0406156457833028,0.999174840852962
1714372452.240548,575,150029996,-0.05333764932802726,-17.10345667974418,8.644650712802878e-05,-5.972102102343024e-05,-4.733266588828729e-05,-0.036728864846465675,0.9993252647061959
1714372452.3539069,575,166696663,-0.053528384233866556,-17.103443328956207,8.659945117751859e-05,-5.33723422308916e-05,-4.7903423195080343e-05,-0.03284270891355755,0.9994605301500777
1714372452.4565055,575,183363331,-0.053713873425075734,-17.103428070801634,8.70719164314804e-05,-4.61258482985534e-05,-4.835950223366501e-05,-0.02895757630976095,0.9995806392222836
1714372452.5511167,575,200029999,-0.05389983943979624,-17.103416627345958,8.754513683708606e-05,-4.000093566173503e-05,-4.845146035902151e-05,-0.025075849623215823,0.9996855494694594
1714372452.6482527,575,216696666,-0.05408628303944371,-17.103407091240577,8.754227570333661e-05,-3.436501671573367e-05,-4.814920081813693e-05,-0.02119260638172838,0.9997754097473338
1714372452.7527976,575,233363334,-0.05427177241285097,-17.103393740434647,8.78955319474713e-05,-2.7312224736114675e-05,-4.8346887254894305e-05,-0.017310215516709193,0.9998501654524972
1714372452.8614364,575,250030001,-0.054459169031614824,-17.10338229698387,8.83114124558973e-05,-2.2760321318049153e-05,-4.904830371899087e-05,-0.013426459241150206,0.9999098595715903
1714372452.965467,575,266696669,-0.05464561262473764,-17.103374668227126,8.830855145248594e-05,-1.4686310274548174e-05,-4.9296086519669064e-05,-0.009549903042592314,0.9999543973132401
1714372453.0611277,575,283363336,-0.054829671394101546,-17.103361317416294,8.871914759380026e-05,-8.75307303277972e-06,-4.91793589036298e-05,-0.0056677008928897495,0.9999839372066749
1714372453.1874523,575,300030004,-0.05501229987663758,-17.10335178129785,8.897846789768127e-05,-2.1612950507702617e-06,-4.951802674867345e-05,-0.0017903058476028617,0.9999983961728468
